angles (degrees), a1, a2, b1, b2,,,efficiency,0.1
,36.87,78.46,36.87,60,,,nr trials,1000000
p(detection), pa1, pa2, pb1, pb2,,,,
p(detection),0.8,0.2,0.8,0.5,,,,
p(coinc), p11, p12, p21, p22,,,,
,0.64,0.4,0.8,0.1,,,,
p11 - p12 - p21 - p22 = -0.02,,,,,,,,
0.64 - 0.4 - 0.4 - 0.1 = -0.02,,,,,,,,
,,,,,,,,
window size, c11, c12, c21, c22, J,,,
1,57,6,1,0,50,,,
21,299,109,20,9,161,,,
41,460,185,28,16,231,,,
61,598,273,65,19,241,,,
81,685,298,56,29,302,,,
101,703,337,60,22,284,,,
121,764,420,59,45,240,,,
141,784,401,85,50,248,,,
161,753,447,66,45,195,,,
181,665,460,70,57,78,,,
201,640,411,74,50,105,,,
221,585,409,93,47,36,,,
241,598,370,87,51,90,,,
261,517,380,81,60,-4,,,
281,460,388,91,63,-82,,,
301,461,327,82,44,8,,,
321,403,352,81,71,-101,,,
341,382,333,69,77,-97,,,
361,317,285,65,66,-99,,,
381,270,272,72,80,-154,,,
401,278,266,75,87,-150,,,
421,225,259,60,78,-172,,,
441,193,254,54,61,-176,,,
461,205,215,58,82,-150,,,
481,141,202,63,78,-202,,,
501,124,187,53,65,-181,,,
521,115,156,55,72,-168,,,
541,114,171,59,88,-204,,,
561,109,163,58,62,-174,,,
581,88,115,53,86,-166,,,
601,92,150,45,75,-178,,,
621,73,117,49,66,-159,,,
641,69,109,43,65,-148,,,
661,54,98,43,68,-155,,,
681,46,99,31,63,-147,,,
701,46,86,31,78,-149,,,
721,27,92,24,74,-163,,,
741,33,83,28,67,-145,,,
761,26,71,24,64,-133,,,
781,30,75,33,78,-156,,,
801,22,59,25,66,-128,,,
821,18,58,28,80,-148,,,
841,14,54,22,66,-128,,,
861,14,32,18,76,-112,,,
881,8,35,23,63,-113,,,
901,5,46,25,76,-142,,,
921,9,32,12,65,-100,,,
941,12,33,16,57,-94,,,
961,5,36,22,60,-113,,,
981,6,35,16,64,-109,,,
1001,3,22,7,57,-83,,,
1021,3,30,11,61,-99,,,
1041,4,14,12,63,-85,,,
1061,2,9,20,56,-83,,,
1081,2,21,10,67,-96,,,
1101,1,13,10,66,-88,,,
1121,0,19,12,46,-77,,,
1141,2,17,4,51,-70,,,
1161,1,18,8,58,-83,,,
1181,2,10,7,46,-61,,,
